,,,,,,,,,,,,,,,,,,,,
,Course,Player,Time (sec),Division,Date,Event,Video proof,Filmer,Camera,Shoes,+/- (sec),+/- (%),Points,Course ID,Player ID,Run ID,Country,🏴,new CR?,former CR holder?
,UNAM 1,Ryan Ford,18.44,M,2025-03-22,,,Taylor Carpenter,,,,,,,,,,,,
,UNAM 1,Taylor Carpenter,18.76,F,2025-03-22,,https://youtube.com/shorts/LxbNlp3QLGY,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 3,Jorge Yah,20.64,M,2025-03-18,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 3,Marcos Ceh,20.88,M,2025-03-18,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 3,Ramsés Toledo,25.06,M,2025-03-18,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 3,Taylor Carpenter,21.52,F,2025-03-18,,https://www.youtube.com/shorts/M2JwSSjD4U0,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 3,Sofía Labarte,40.81,F,2025-03-18,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Olof Wood,13.50,M,2025-03-14,,https://youtube.com/shorts/JmmzZKCKz-g,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Liam Ponce,14.58,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Ryan Ford,17.71,M,2025-03-14,,,Taylor Carpenter,,,,,,,,,,,,
,PARQUE CANCÚN 1,Ramsés Toledo,20.34,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Bruno Ponce,21.58,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Andrus Valencia,24.22,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Andre Maldonado,24.96,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Taylor Carpenter,19.32,F,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Sofía Labarte,27.73,F,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 1,Ness,79.23,F,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 2,Olof Wood,28.66,M,2025-03-14,,https://youtube.com/shorts/c9Xn3uvrD9Q,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 2,Liam Ponce,29.55,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 2,Ryan Ford,48.62,M,2025-03-14,,,Taylor Carpenter,,,,,,,,,,,,
,PARQUE CANCÚN 2,Andre Maldonado,80.91,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 2,Bruno Ponce,81.82,M,2025-03-14,,,Ryan Ford,,,,,,,,,,,,
,PARQUE CANCÚN 2,Taylor Carpenter,46.59,F,2025-03-14,,https://www.youtube.com/shorts/oabtxYhyFd0,Ryan Ford,,,,,,,,,,,,
,OBELISCO,Javier Grijalva Azcarreta,16.93,M,2025-03-11,,https://youtube.com/shorts/T1bfGdqLYHE,Ryan Ford,,,,,,,,,,,,
,OBELISCO,Ryan Ford,17.71,M,2025-03-11,,,Taylor Carpenter,,,,,,,,,,,,
,OBELISCO,Tony Tobias,25.33,M,2025-03-11,,,Ryan Ford,,,,,,,,,,,,
,OBELISCO,Taylor Carpenter,20.80,F,2025-03-11,,https://youtube.com/shorts/QgEGc1sRZsg,Ryan Ford,,,,,,,,,,,,
,ATITLÁN,Ryan Ford,13.92,M,2025-03-09,,https://youtube.com/shorts/I0AQ0YI6qRQ,Taylor Carpenter,,,,,,,,,,,,
,ATITLÁN,Taylor Carpenter,14.58,F,2025-03-09,,https://youtube.com/shorts/lKW2znelUUw,Ryan Ford,,,,,,,,,,,,
,ANTIGUA,Ryan Ford,17.54,M,2025-03-05,,https://youtube.com/shorts/I7ORjTYqLo8,Taylor Carpenter,,,,,,,,,,,,
,ANTIGUA,Taylor Carpenter,17.46,F,2025-03-05,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Arturo Camarena Torres,15.75,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Sebastián Galván,16.16,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,George Munro,16.41,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Aldo Zermeño Sobrino,19.55,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Rolando Solano,20.46,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Marlene Coronel,22.00,F,2025-02-12,,https://youtube.com/shorts/TJoSUScY8-Q,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Sofía González,22.73,F,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Saraí Serrano,23.61,F,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Will Flores,11.00,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Sebastián Galván,11.09,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,George Munro,11.27,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Rolando Solano,12.50,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Aldo Zermeño Sobrino,13.35,M,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Marlene Coronel,13.38,F,2025-02-12,,https://youtube.com/shorts/vZDL9gXtSHQ,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Saraí Serrano,14.42,F,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,CHAPU 2,Sofía González,14.50,F,2025-02-12,,,Ryan Ford,,,,,,,,,,,,
,UH3,Ryan Ford,13.79,M,2025-02-01,,,Taylor Carpenter,,,,,,,,,,,,
,UH3,Liam Kim,9.42,M,2025-01-25,,https://youtube.com/shorts/MqF8ylt-AGw,Matt Jang,,,,,,,,,,,,
,UH3,Roland Turner,9.63,M,2025-01-25,,https://youtube.com/shorts/KkiA3bJE5rU,Ryan Ford,,,,,,,,,,,,
,UH3,Matt Jang,10.00,M,2025-01-25,,,Ryan Ford,,,,,,,,,,,,
,UH3,Elias Fonseca,10.04,M,2025-01-25,,,Ryan Ford,,,,,,,,,,,,
,UH3,Parker Krueger,10.60,M,2025-01-25,,https://www.instagram.com/p/DOHJNChEiLX/,Ryan Ford,,,,,,,,,,,,
,UH3,Bobby Houser,10.87,M,2025-01-25,,,Ryan Ford,,,,,,,,,,,,
,UH3,Andrew Cavuto,11.98,M,2025-01-25,,,Ryan Ford,,,,,,,,,,,,
,UH3,Evan Wilson,12.46,M,2025-01-25,,,Ryan Ford,,,,,,,,,,,,
,PALI,Ryan Ford,13.97,M,2025-01-23,,,Taylor Carpenter,,,,,,,,,,,,
,PALI,Taylor Carpenter,15.37,F,2025-01-23,,https://youtube.com/shorts/my7_qHijXl0,Ryan Ford,,,,,,,,,,,,
,KĀNEWAI,Liam Kim,12.79,M,2025-01-20,,https://youtube.com/shorts/bxoEsi1WikE,Ryan Ford,,,,,,,,,,,,
,KĀNEWAI,Ryan Ford,21.25,M,2025-01-20,,,Liam Kim,,,,,,,,,,,,
,UH2,Liam Kim,8.95,M,2025-01-14,,,Matt Jang,,,,,,,,,,,,
,UH2,Matt Jang,8.19,M,2025-01-14,,https://youtube.com/shorts/12Wo6-7tVgU,Liam Kim,,,,,,,,,,,,
,KAKA'AKO,Elias Fonseca,11.03,M,2025-01-12,,https://youtube.com/shorts/8HvVfVE3okk,Ryan Ford,,,,,,,,,,,,
,KAKA'AKO,Roland Turner,11.43,M,2025-01-12,,https://www.instagram.com/p/DFJhx_USVh5/,Ryan Ford,,,,,,,,,,,,
,KAKA'AKO,Ken Imperial,20.36,M,2025-01-12,,,Ryan Ford,,,,,,,,,,,,
,KAKA'AKO,Alana Hart,24.37,F,2025-01-12,,,Ryan Ford,,,,,,,,,,,,
,UH2,Matt Jang,,M,2025-01-11,,,Ryan Ford,,,,,,,,,,,,
,UH2,Liam Kim,,M,2025-01-11,,,Ryan Ford,,,,,,,,,,,,
,UH2,Bobby Houser,9.98,M,2025-01-11,,,Ryan Ford,,,,,,,,,,,,
,UH2,Parker Krueger,10.76,M,2025-01-11,,,Ryan Ford,,,,,,,,,,,,
,UH2,Andrew Cavuto,10.79,M,2025-01-11,,,Ryan Ford,,,,,,,,,,,,
,UH2,Evan Wilson,12.00,M,2025-01-11,,,Ryan Ford,,,,,,,,,,,,
,UH2,Taylor Carpenter,12.23,F,2025-01-11,,https://youtube.com/shorts/5_q55QZIgvY,Ryan Ford,,,,,,,,,,,,
,WINDWARD,Matt Jang,11.79,M,2025-01-05,,https://youtube.com/shorts/NA0fDzYCMg4,Ryan Ford,,,,,,,,,,,,
,WINDWARD,Andrew Cavuto,12.51,M,2025-01-05,,,Ryan Ford,,,,,,,,,,,,
,WINDWARD,Ryan Ford,15.21,M,2025-01-05,,,Taylor Carpenter,,,,,,,,,,,,
,WINDWARD,Taylor Carpenter,15.70,F,2025-01-05,,https://youtube.com/shorts/r_T-Y_lgUr0,Ryan Ford,,,,,,,,,,,,
,KAKA'AKO,Liam Kim,11.63,M,2024-12-30,,,Ryan Ford,,,,,,,,,,,,
,KAKA'AKO,Matt Jang,13.79,M,2024-12-30,,,Ryan Ford,,,,,,,,,,,,
,KAKA'AKO,Ryan Ford,15.53,M,2024-12-30,,,Taylor Carpenter,,,,,,,,,,,,
,KAKA'AKO,Taylor Carpenter,15.54,F,2024-12-30,,https://www.youtube.com/shorts/YvUWNzro-10,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Joey Jepsen,8.40,M,2024-12-17,,https://youtube.com/shorts/hNWXsBSZsgU,Ryan Ford,,,,,,,,,,,,✅
,AZ FALLS,Joey Jepsen,15.04,M,2024-12-10,,https://youtube.com/shorts/FpiuU28mo04,Ryan Ford,,,,,,,,,,,,
,AZ FALLS,Seth Jung,15.53,M,2024-12-10,,,Ryan Ford,,,,,,,,,,,,
,AZ FALLS,Rob Schihl,15.83,M,2024-12-10,,,Ryan Ford,,,,,,,,,,,,
,AZ FALLS,Ryan Ford,21.13,M,2024-12-10,,,Taylor Carpenter,,,,,,,,,,,,
,AZ FALLS,Taylor Carpenter,18.46,F,2024-12-10,,https://youtube.com/shorts/9akrgH8ThXM,Ryan Ford,,,,,,,,,,,,
,AZ FALLS,Amy Jepsen,50.82,F,2024-12-10,,https://www.instagram.com/p/DDkmH1CPbe8/,Ryan Ford,,,,,,,,,,,,
,DRINKWATER,Joey Jepsen,12.30,M,2024-12-09,,https://youtube.com/shorts/gGtR10NER0s,Ryan Ford,,,,,,,,,,,,
,DRINKWATER,Seth Jung,13.30,M,2024-12-09,,,Ryan Ford,,,,,,,,,,,,
,DRINKWATER,Rob Schihl,17.53,M,2024-12-09,,,Ryan Ford,,,,,,,,,,,,
,DRINKWATER,Francesco Caban,21.33,M,2024-12-09,,,Ryan Ford,,,,,,,,,,,,
,DRINKWATER,Taylor Carpenter,16.96,F,2024-12-09,,https://youtube.com/shorts/Ha9eDxTX75o,Ryan Ford,,,,,,,,,,,,
,SPEEDWAY,Seth Jung,9.04,M,2024-12-08,,https://youtube.com/shorts/lBwkB6V6XUs,Ryan Ford,,,,,,,,,,,,
,SPEEDWAY,Joey Jepsen,10.51,M,2024-12-08,,,Ryan Ford,,,,,,,,,,,,
,SPEEDWAY,Shayan Mahmood,10.78,M,2024-12-08,,,Ryan Ford,,,,,,,,,,,,
,SPEEDWAY,Taylor Carpenter,12.80,F,2024-12-08,,https://youtube.com/shorts/f_m5Kof2GNk,Ryan Ford,,,,,,,,,,,,
,RIVERBANK,Olof Wood,14.31,M,2024-12-07,,https://youtube.com/shorts/UNLSOknZ0OY,Jesse Danger,,,,,,,,,,,,
,RIVERBANK,Jesse Danger,26.44,M,2024-12-07,,,Olof Wood,,,,,,,,,,,,
,PPL,Joey Jepsen,8.66,M,2024-12-07,,https://youtube.com/shorts/AGSHbae5yCM,Ryan Ford,,,,,,,,,,,,
,PPL,Rob Schihl,9.28,M,2024-12-07,,,Ryan Ford,,,,,,,,,,,,
,PPL,Seth Jung,9.52,M,2024-12-07,,,Ryan Ford,,,,,,,,,,,,
,PPL,Henry Clower,10.39,M,2024-12-07,,,Ryan Ford,,,,,,,,,,,,
,PPL,Taylor Carpenter,12.50,F,2024-12-07,,https://youtube.com/shorts/rV7sq8fVKM0,Ryan Ford,,,,,,,,,,,,
,PPL,Amy Jepsen,34.53,F,2024-12-07,,,Ryan Ford,,,,,,,,,,,,
,HANCE 2,Joey Jepsen,16.43,M,2024-12-06,,https://youtube.com/shorts/Om7PRAFi_4Q,Ryan Ford,,,,,,,,,,,,
,HANCE 2,Rob Schihl,17.30,M,2024-12-06,,,Ryan Ford,,,,,,,,,,,,
,HANCE 2,Ryan Ford,23.22,M,2024-12-06,,,Taylor Carpenter,,,,,,,,,,,,
,HANCE 2,Taylor Carpenter,22.26,F,2024-12-06,,https://youtube.com/shorts/aXbmI7Sa16w,Ryan Ford,,,,,,,,,,,,
,HANCE 2,Amy Jepsen,50.20,F,2024-12-06,,,Ryan Ford,,,,,,,,,,,,
,HANCE 1,Joey Jepsen,12.54,F,2024-12-05,,https://youtube.com/shorts/pLYrAfu-UA4,Ryan Ford,,,,,,,,,,,,
,HANCE 1,Rob Schihl,12.95,M,2024-12-05,,,Ryan Ford,,,,,,,,,,,,
,HANCE 1,Seth Jung,14.55,M,2024-12-05,,,Ryan Ford,,,,,,,,,,,,
,HANCE 1,Ryan Ford,25.70,M,2024-12-05,,,Taylor Carpenter,,,,,,,,,,,,
,AURARIA 1,Joey Jepsen,8.33,F,2024-11-22,,https://youtube.com/shorts/Mf_2EOv6zC8,Ryan Ford,,,,,,,,,,,,
,AURARIA 1,Taylor Carpenter,11.41,F,2024-11-22,,https://youtube.com/shorts/gBdIIqEkkic,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Joey Jepsen,8.84,M,2024-11-17,,https://youtube.com/shorts/FcWklUp4soU,Ryan Ford,,,,,,,,,,,,✅
,TABLE MESA,Marquis Johnson,11.32,M,2024-11-02,,https://youtube.com/shorts/J7NsezrvDmY,Ryan Ford,,,,,,,,,,,,
,TABLE MESA,Ryan Ford,13.29,M,2024-11-02,,,Taylor Carpenter,,,,,,,,,,,,
,TABLE MESA,Taylor Carpenter,13.64,F,2024-11-02,,https://youtube.com/shorts/ytOLG5sCYs0,Ryan Ford,,,,,,,,,,,,
,TABLE MESA,Amy Jepsen,30.02,F,2024-11-02,,,Ryan Ford,,,,,,,,,,,,
,NOGUCHI,Olof Wood,13.26,M,2024-10-25,,,Ryan Ford,,,,,,,,,,,,
,NOGUCHI,Joey Jepsen,13.38,M,2024-10-25,,,Ryan Ford,,,,,,,,,,,,
,NOGUCHI,Taylor Carpenter,17.75,F,2024-10-25,,https://youtube.com/shorts/5wzWw92MLsk,Ryan Ford,,,,,,,,,,,,
,HARRISON,Olof Wood,11.22,M,2024-10-24,,https://youtube.com/shorts/vknFKwAuKwM,Ryan Ford,,,,,,,,,,,,
,HARRISON,Joey Jepsen,11.55,M,2024-10-24,,,Ryan Ford,,,,,,,,,,,,
,HARRISON,Taylor Carpenter,17.09,F,2024-10-24,,https://youtube.com/shorts/5jU7UclqFGI,Ryan Ford,,,,,,,,,,,,
,URBAN LIFE,Joey Jepsen,19.30,M,2024-10-22,,https://youtube.com/shorts/enOra6LHANE,Ryan Ford,,,,,,,,,,,,
,URBAN LIFE,Olof Wood,19.46,M,2024-10-22,,,Ryan Ford,,,,,,,,,,,,
,URBAN LIFE,Max Calderon,27.77,M,2024-10-22,,,Ryan Ford,,,,,,,,,,,,
,PEACHTREE,Olof Wood,14.88,M,2024-10-22,,https://youtube.com/shorts/HFivvb5N9JY,Ryan Ford,,,,,,,,,,,,
,PEACHTREE,Joey Jepsen,15.09,M,2024-10-22,,,Ryan Ford,,,,,,,,,,,,
,PEACHTREE,Max Calderon,15.88,M,2024-10-22,,,Ryan Ford,,,,,,,,,,,,
,VINE CITY,Olof Wood,12.25,M,2024-10-21,,https://youtube.com/shorts/c2znxv4-Jsw,Ryan Ford,,,,,,,,,,,,
,VINE CITY,Joey Jepsen,12.78,M,2024-10-21,,,Ryan Ford,,,,,,,,,,,,
,VINE CITY,Taylor Carpenter,17.79,F,2024-10-21,,https://youtube.com/shorts/PNgmb75UlR4,Ryan Ford,,,,,,,,,,,,
,NELSON-SHELL,Joey Jepsen,22.26,M,2024-10-20,,https://youtube.com/shorts/L_hzTq3i8p8,Ryan Ford,,,,,,,,,,,,
,NELSON-SHELL,Olof Wood,22.66,M,2024-10-20,,,Ryan Ford,,,,,,,,,,,,
,NELSON-SHELL,Taylor Carpenter,35.56,F,2024-10-20,,https://youtube.com/shorts/lrn75iIBnYs,Ryan Ford,,,,,,,,,,,,
,HARBOURFRONT 1,Joey Jepsen,8.04,M,2024-10-18,,https://youtube.com/shorts/YjaKTaU1xhw,Ryan Ford,,,,,,,,,,,,
,HARBOURFRONT 1,Olof Wood,8.16,M,2024-10-17,,,Ryan Ford,,,,,,,,,,,,
,HARBOURFRONT 2,Joey Jepsen,14.45,M,2024-10-16,,,Ryan Ford,,,,,,,,,,,,
,HARBOURFRONT 2,Taylor Carpenter,18.65,F,2024-10-16,,https://youtube.com/shorts/o5tgU6ovDTk,Ryan Ford,,,,,,,,,,,,
,LASTMAN,Joey Jepsen,13.80,M,2024-10-15,,https://youtube.com/shorts/e3bhyZOvemg,Ryan Ford,,,,,,,,,,,,
,LASTMAN,Taylor Carpenter,22.14,F,2024-10-15,,https://youtube.com/shorts/z6J1NwGRUvY,Ryan Ford,,,,,,,,,,,,
,HARBOURFRONT 1,Ryan Ford,13.41,M,2024-10-14,,,Taylor Carpenter,,,,,,,,,,,,
,HARBOURFRONT 1,Taylor Carpenter,11.84,F,2024-10-14,,https://youtube.com/shorts/UL8WHoO3oK0,Ryan Ford,,,,,,,,,,,,
,RINO,Olof Wood,10.99,M,2024-10-05,,https://youtube.com/shorts/tk3HItbmE6U,Ryan Ford,,,,,,,,,,,,
,MILLER,Joey Jepsen,16.42,M,2024-10-04,,https://youtube.com/shorts/jHKLuFbzVWM,Ryan Ford,,,,,,,,,,,,
,MILLER,Ryan Ford,23.37,M,2024-10-04,,,Taylor Carpenter,,,,,,,,,,,,
,MILLER,Taylor Carpenter,20.18,F,2024-10-04,,https://youtube.com/shorts/BpyQFNll0YU,Ryan Ford,,,,,,,,,,,,
,MILLER,Amy Jepsen,45.97,F,2024-10-04,,https://www.instagram.com/p/DBhd7xtvRPG/,Ryan Ford,,,,,,,,,,,,
,ACC,Olof Wood,10.50,M,2024-10-02,,https://youtube.com/shorts/swIGDKhqRxE,Ryan Ford,,,,,,,,,,,,
,ACC,Ryan Ford,17.90,M,2024-10-02,,,Taylor Carpenter,,,,,,,,,,,,
,ACC,Taylor Carpenter,17.35,F,2024-10-02,,https://youtube.com/shorts/xeFWl335rYM,Ryan Ford,,,,,,,,,,,,
,ACC,Amy Jepsen,36.77,F,2024-10-02,,,Ryan Ford,,,,,,,,,,,,
,WYOMING,Joey Jepsen,9.57,M,2024-09-22,,https://youtube.com/shorts/cczKN_A8cbQ,Ryan Ford,,,,,,,,,,,,
,EAGLETON,Joey Jepsen,11.01,M,2024-09-22,,https://youtube.com/shorts/XLYdR54ZfaE,Ryan Ford,,,,,,,,,,,,
,AURARIA 2,Joey Jepsen,27.00,M,2024-07-31,,https://youtube.com/shorts/8S717kjZVSU,Ryan Ford,,,,,,,,,,,,
,AURARIA 2,John Lunsford,32.34,M,2024-07-31,,,Ryan Ford,,,,,,,,,,,,
,AURARIA 2,Bekah Jackson,28.47,F,2024-07-31,,https://youtube.com/shorts/nNbHiw4wlUY,Ryan Ford,,,,,,,,,,,,
,AURARIA 2,Amy Jepsen,75.55,F,2024-07-31,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Julian Frazier,10.42,M,2024-07-14,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Taylor Carpenter,13.30,F,2024-07-14,,https://youtube.com/shorts/IIy_KCtjM88,Ryan Ford,,,,,,,,,,,,✅
,BEAN LOG,Joey Jepsen,11.92,M,2024-07-04,,https://youtube.com/shorts/iETdL1SIwNU,Ryan Ford,,,,,,,,,,,,
,BEAN LOG,Olof Wood,12.71,M,2024-07-04,,,Ryan Ford,,,,,,,,,,,,
,C4C,Olof Wood,7.92,M,2024-07-03,,https://youtube.com/shorts/jr8w2AD_zJA,Ryan Ford,,,,,,,,,,,,
,C4C,Joey Jepsen,8.21,M,2024-07-03,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Olof Wood,8.89,M,2024-06-27,,https://youtube.com/shorts/Z26L0-kU6qQ,Ryan Ford,,,,,,,,,,,,✅
,MILLENNIUM,Kaden Lebsack,9.47,M,2024-06-27,,,Max Feinberg,,,,,,,,,,,,
,MILLENNIUM,Max Boice,9.66,M,2024-06-27,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Max Feinberg,11.83,M,2024-06-27,,,Kaden Lebsack,,,,,,,,,,,,
,UCCS,Olof Wood,13.80,M,2024-06-12,,,Ryan Ford,,,,,,,,,,,,
,UCCS,Kyle Smith,19.77,M,2024-06-12,,,Ryan Ford,,,,,,,,,,,,
,UCCS,Taylor Carpenter,14.84,F,2024-06-12,,,Ryan Ford,,,,,,,,,,,,
,MINES 2,Olof Wood,11.26,M,2024-06-06,,https://youtube.com/shorts/KtfTkxb3goU,Ryan Ford,,,,,,,,,,,,
,CSU,Olof Wood,19.90,M,2024-06-01,,https://youtube.com/shorts/pXPZWTxhKOU,Ryan Ford,,,,,,,,,,,,
,CSU,Ryan Ford,38.03,M,2024-06-01,,,Taylor Carpenter,,,,,,,,,,,,
,CSU,Taylor Carpenter,32.89,F,2024-06-01,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Michael Sliger,9.98,M,2024-05-28,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Seth Wang,10.33,M,2024-05-28,,,Ryan Ford,,,,,,,,,,,,
,ORMSUND,Taylor Carpenter,21.71,F,2024-05-19,,https://youtube.com/shorts/n9Ys0eRBb2g,Ryan Ford,,,,,,,,,,,,
,BELMAR,Max Boice,16.00,M,2024-05-08,,https://youtube.com/shorts/wFpQWwTpxzg,Ryan Ford,,,,,,,,,,,,
,BELMAR,Joey Jepsen,16.21,M,2024-05-08,,,Ryan Ford,,,,,,,,,,,,
,BELMAR,Christian Greene,21.24,M,2024-05-08,,,Ryan Ford,,,,,,,,,,,,
,BELMAR,Vanessa Sherk,41.92,F,2024-05-08,,,Ryan Ford,,,,,,,,,,,,
,ÉVRY,Joey Jepsen,14.12,M,2024-04-30,,https://youtube.com/shorts/foIG3han7yU,Ryan Ford,,,,,,,,,,,,
,ÉVRY,Olof Wood,14.39,M,2024-04-30,,https://youtube.com/shorts/A6P4Tov0kac,Ryan Ford,,,,,,,,,,,,
,ÉVRY,Rob Schihl,15.87,M,2024-04-30,,https://youtube.com/shorts/sm_Ef6zuhNs,Ryan Ford,,,,,,,,,,,,
,ÉVRY,Taylor Carpenter,16.80,F,2024-04-30,,https://youtube.com/shorts/S7XmB7a4cTw,Ryan Ford,,,,,,,,,,,,
,ÉVRY,Bekah Jackson,17.30,F,2024-04-30,,https://youtube.com/shorts/331RVuXWypo,Ryan Ford,,,,,,,,,,,,
,ÉVRY,Bethel Lindsley,21.51,F,2024-04-30,,https://youtube.com/shorts/C0eyLBM4bno,Ryan Ford,,,,,,,,,,,,
,WATERFRONT,Justin Bergemann,16.99,M,2024-04-04,,https://youtube.com/shorts/_BEIBpOHw3Y,Taylor Carpenter,,,,,,,,,,,,
,KĀNEWAI,Taylor Carpenter,18.43,F,2024-03-09,,,Ryan Ford,,,,,,,,,,,,
,PAINTED STAIRS,Seth Wang,12.72,M,2023-12-06,,https://youtube.com/shorts/qXP6l1AVIGQ,Ryan Ford,,,,,,,,,,,,
,PAINTED STAIRS,Max Boice,14.73,M,2023-12-06,,,Ryan Ford,,,,,,,,,,,,
,PAINTED STAIRS,Taylor Carpenter,21.49,F,2023-12-06,,,Ryan Ford,,,,,,,,,,,,
,IRON WORKS,Taylor Carpenter,9.80,M,2023-10-12,,https://youtube.com/shorts/a-BW6Q4iUsk,Ryan Ford,,,,,,,,,,,,
,IRON WORKS,Matt Jang,9.08,M,2023-08-17,,https://youtube.com/shorts/1mxnBmSubuk,Ryan Ford,,,,,,,,,,,,
,COTTONWOOD 1,Taylor Carpenter,14.63,F,2023-08-15,,https://youtube.com/shorts/g5mqvWDSEYM,Ryan Ford,,,,,,,,,,,,
,COTTONWOOD 1,Jess Chan,16.55,F,2023-08-15,,,Ryan Ford,,,,,,,,,,,,
,POINT GREY,Taylor Carpenter,12.19,F,2023-08-06,,https://youtube.com/shorts/ljwD-Qe97yI,Ryan Ford,,,,,,,,,,,,
,WATER GARDEN,Taylor Carpenter,13.11,F,2023-08-02,,https://youtube.com/shorts/9EonyGlws7I,Ryan Ford,,,,,,,,,,,,
,JEFFERSON,Taylor Carpenter,12.16,F,2023-07-29,,https://youtube.com/shorts/1lXDJ6-E6sA,Ryan Ford,,,,,,,,,,,,
,LOHS,Taylor Carpenter,13.11,F,2023-07-16,,,Ryan Ford,,,,,,,,,,,,
,IRVING,Taylor Carpenter,13.22,F,2023-07-11,,,Ryan Ford,,,,,,,,,,,,
,CAL,Olof Wood,10.09,M,2023-06-24,,https://youtube.com/shorts/yEQPgmDay5U,Ryan Ford,,,0.00,0.00%,100.00,5,5,10,USA,🇺🇸,✅,
,FUNSTON,Olof Wood,10.45,M,2023-06-24,,https://youtube.com/shorts/K3aCdnl3AAo,Ryan Ford,,,,,,,,,,,,
,FUNSTON,Taylor Carpenter,15.95,F,2023-06-24,,https://youtube.com/shorts/gWY1uXynIHo,Ryan Ford,,,,,,,,,,,,
,O'RORKE,Taylor Carpenter,13.11,F,2023-06-23,,https://youtube.com/shorts/0YYdeml91H4,Ryan Ford,,,0.00,0.00%,100.00,4,2,7,USA,🇺🇸,✅,
,O'RORKE,Olof Wood,9.71,M,2023-06-23,,https://youtube.com/shorts/V4QD_eXF_pk,Ryan Ford,,,0.00,0.00%,100.00,4,5,8,USA,🇺🇸,✅,
,O'RORKE,Ryan Ford,13.76,M,2023-06-23,,,Taylor Carpenter,,,4.05,29.43%,70.57,4,3,9,USA,🇺🇸,,
,WAVE ORGAN,Olof Wood,11.94,M,2023-06-22,,https://youtube.com/shorts/xYxGlz-Sshk,Ryan Ford,,,0.00,0.00%,100.00,3,5,5,USA,🇺🇸,✅,
,WAVE ORGAN,Taylor Carpenter,16.21,F,2023-06-22,,https://youtube.com/shorts/ev5o2POPTXU,Ryan Ford,,,0.00,0.00%,100.00,3,2,6,USA,🇺🇸,✅,
,PASSBY,Taylor Carpenter,13.11,F,2023-05-31,,https://youtube.com/shorts/oycr5pti3H4,Ryan Ford,,,0.00,0.00%,100.00,2,2,2,USA,🇺🇸,✅,
,PASSBY,Ryan Ford,14.41,M,2023-05-31,,,Taylor Carpenter,,,4.02,27.90%,72.10,2,3,3,USA,🇺🇸,,
,PASSBY,Matt Jang,10.39,M,2023-05-31,,https://youtube.com/shorts/0Xjdtozz9nI,Ryan Ford,,,0.00,0.00%,100.00,2,4,4,USA,🇭🇰 🇺🇸,✅,
