,,,,,,,,,,,,,,,,,,,,
,Course,Player,Time (sec),Division,Date,Event,Video proof,Filmer,Camera,Shoes,+/- (sec),+/- (%),Points,Course ID,Player ID,Run ID,Country,🏴,new CR?,former CR holder?
,KAPOLEI,Matt Jang,9.96,M,2026-01-24,,https://youtube.com/shorts/hFOY0SS9o20,Ryan Ford,,,,,,,,,,,✅,
,KAPOLEI,Andrew Cavuto,11.98,M,2026-01-24,,,Ryan Ford,,,,,,,,,,,,
,KAPOLEI,Kaena Sylva,12.42,M,2026-01-24,,,Ryan Ford,,,,,,,,,,,,
,KAPOLEI,Taylor Carpenter,11.83,F,2026-01-24,,https://youtube.com/shorts/dp228pIYYk8,Ryan Ford,,,,,,,,,,,✅,
,KAPOLEI,Lisa Eckert,15.56,F,2026-01-24,,,Ryan Ford,,,,,,,,,,,,
,JAFFA,Dima Domakov,14.66,M,2026-01-24,,,,,,,,,,,,,,✅,
,JAFFA,Maxim Mirozni,16.50,M,2026-01-24,,https://www.instagram.com/p/DUNcFTNDVn0/,,,,,,,,,,,,,
,JAFFA,Oren Elhanan,17.88,M,2026-01-24,,,,,,,,,,,,,,,
,JAFFA,Yuval Salah,20.30,M,2026-01-24,,,,,,,,,,,,,,,
,PCHS,Taylor Carpenter,15.25,F,2026-01-21,,https://youtube.com/shorts/wNGrUfNEFEM,Ryan Ford,,,,,,,,,,,✅,
,SAWS,Benati Louvouezo,14.46,M,2026-01-11,,,,,,,,,,,,,,✅,
,SAWS,Stephen McCarty,14.94,M,2026-01-11,,,,,,,,,,,,,,,
,SAWS,Carson Palmer,15.46,M,2026-01-11,,,,,,,,,,,,,,,
,KAPI'OLANI,Matt Jang,12.04,M,2026-01-10,,,Ryan Ford,,,,,,,,,,,,
,KAPI'OLANI,Taylor Carpenter,15.51,F,2026-01-10,,,Ryan Ford,,,,,,,,,,,✅,
,FREEWAY 3,INTERIM TOP TIME,22.00,F,2026-01-01,,,-,,,,,,,,,,,,
,CASABLANCA,INTERIM TOP TIME,24.00,F,2026-01-01,,,-,,,,,,,,,,,,
,ANBAR,INTERIM TOP TIME,31.00,F,2026-01-01,,,-,,,,,,,,,,,,
,BOUKAR,INTERIM TOP TIME,16.00,F,2026-01-01,,,-,,,,,,,,,,,,
,FOLK,INTERIM TOP TIME,26.00,F,2026-01-01,,,-,,,,,,,,,,,,
,LABYRINTH,INTERIM TOP TIME,20.00,F,2026-01-01,,,-,,,,,,,,,,,,
,GDAŃSK,INTERIM TOP TIME,21.00,F,2026-01-01,,,-,,,,,,,,,,,,
,SPEER,INTERIM TOP TIME,21.00,F,2026-01-01,,,-,,,,,,,,,,,,
,CAL,INTERIM TOP TIME,15.00,F,2026-01-01,,,-,,,,,,,,,,,,
,LOS CABOS,INTERIM TOP TIME,24.00,F,2026-01-01,,,-,,,,,,,,,,,,
,RAPID,INTERIM TOP TIME,15.00,F,2026-01-01,,,-,,,,,,,,,,,,
,BAHEN,INTERIM TOP TIME,23.00,F,2026-01-01,,,-,,,,,,,,,,,,
,PEACHTREE,INTERIM TOP TIME,24.00,F,2026-01-01,,,-,,,,,,,,,,,,
